Research,X2,Type,Hashtag/site name,Web address,Place,Start Date,Affiliation,Bios,Date Checked,Number of members,X12,Interviewed,Still exists?,X15,X16,X17
Marcia,NA,Facebook Groups,Black Lives Matter - Female Allies,groups/315796588759450/?ref=br_rs,unclear,unclear,not a chapter,"A place to speak up and do something in support of the Black Lives Matter movement. Inspired by Brandi Riley's moving plea in the video posted here.

STATEMENT OF VALUES: 

We believe in freedom of expression and encourage curiosity and respectful debate; 
We respect the diversity of experiences and viewpoints of individuals in this forum; 
We believe that members should be kind in their language and choices here; 
We advocate members taking action towards group goals and hope that information and discussions provide a learning platform upon which to reflect and take thoughtful action;","April 14, 2017",288 Members,314 Members,1,yes but inactive,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Houston,@BLMHOU,"Houston, TX",2014,chapter of the #Blacklivesmatter movement http://blmhouston.weebly.com/- but not listed on page and contacts says they applied but were not approved yet,An official page dedicated to linking activists and supporters of the #BlackLivesMatter movement in Houston. Our work is intersectional and inclusive.,"April 18th, 2017","8,832 Likes",8463 Likes,1,yes and active,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Memphis,@blacklivesmattermemphis,"Memphis, TN","March 1, 2014",chapter of the #Blacklivesmatter movement,"BlackLivesMatter is an online forum intended to build connections between Black people and our allies to fight anti-Black racism, to spark dialogue.Page Black Lives Matter Memphis about social conscientiousness and black liberation. Here you can voice your opinions and get an updates on upcoming events and causes in the Memphis community.","April 18th, 2017","8,218 Likes",11214 Likes,1,yes and active,NA,NA,(901) 430-0477
Marcia,NA,Facebook Groups,Black Lives Matter Pasadena,groups/1668159140080618/?ref=br_rs,"Pasadena, CA",unclear,says it is an official chapter- #BLMDena,"Black lives matter Pasadena is an official chapter of #blacklivesmatter
Www.blacklivesmatter.com

#BLMDena is an online forum intended to build connections between Black people and our allies to fight anti-Black racism in the city of Pasadena, to spark dialogue amongst Black people, and to facilitate the types of connections necessary to encourage social action and engagement.

We value dialogue and relationship building between and among Black people. We ask that others sharing information on this page be diligent about respecting one another's viewpoints, ensuring that we are not ""preaching at"" our brothers and sisters and those in between. In short, we ask that you use this page as a resource for collaboration and information about issues impacting Black people throughout the diaspora--and to use other venues to sell products, preach the gospel, etc. 

We ask that you use this page in ways that create, spark innovation, solidarity, and foster the practice of Black Love.

Www.blacklivesmatter.com","April 14, 2017","1,251 Members","1,547 Members",1,yes and active,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter to US,groups/857781724300161/?ref=br_rs,unclear,unclear,not a chapter,"Dear white allies, anti-racists, freedom fighters or however you want to identify, here's what is up. We need to have a million white people Black Lives Matter march. We aren't going to ask any black or brown person to do one single thing. This is OUR work. We WILL get up off our liberal white behinds and do this thing. We will.

Let's get organized.

NOTE: This will not be a space to bicker for any reason. This is a constructive and safe space and trolling will NOT be tolerated.

*UPDATE - this group has evolved in the months since it's inception. There is some critical reading that I would like to encourage everyone who joins this group to read. 

1) 4 Ways White People Can Process Their Emotions Without Bringing the White Tears. 
http://everydayfeminism.com/2016/02/white-people-emotions-tears/?utm_source=facebook&utm_medium=social&utm_campaign=SocialWarfare

2) Dear white progressives: Stop telling black people how to vote
http://www.salon.com/2015/07/21/dear_white_progressives_stop_telling_black_people_how_to_vote/
With primary election season upon us, the number of people who have joined this group to promote a political agenda, despite gentle, private caution, is ridiculous. 

The Black Lives Movement has chosen not to endorse any candidates. We, as anti-racists who support the BLM movement and seek to dismantle racism, are not hear to tell anyone who they should vote for. POC are intelligent enough to make educated decisions for themselves and we will not perpetuate the patriarchy here by telling them who to vote for. If you have evidence-based articles that support critical issues in the black and brown communities related to candidates, it is fair to share them. However, this is NOT a place to pander; IMHO, it is tantamount to trolling. We WILL respect the BLM movement, and anyone who chooses not to agree to that social contract with be removed.

This has never been a space without growth tension and new ideas - however it has been respectful, intellectual and a sacred space. There is no room for patriarchal, white supremacist agendas.","April 14, 2017","2,350 Members",2758 Members,1,yes and active,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter- Maryland,groups/blacklivesmatterMD/?ref=br_rs,MD,unclear,not a chapter- asked to use name/#BLM,"This is a place for people who live in/near Maryland who are committed to fighting racism to share about local events (vigils, protests, civil disobedience, conversations about reconciliation); suggest practical ways we can take action; provide each other with resources for continuing education; and offer each other inspiration. We are inspired by #BlackLivesMatter www.blacklivesmatter.com, and use this phrase with their permission, because we value the clarity of focus it holds. If you have been added to this group in error, please feel free to leave the group. This is not a place to debate whether we need to focus on racism. If someone makes comments that distract from, or challenge, our shared commitment to ending racism, that person will be removed from the group.","April 11, 2017","2,736 Members",2723 Members,1,yes and active,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter: Allies Unite,groups/BlackLivesMatterAllliesUnite/?ref=br_rs,unclear,unclear,not a chapter- disagree with approach,"This space is an inclusive SAFE and SHAME FREE community space for ongoing dialogue for People of Color and Allies to unite and engage in thoughtful and meaningful conversations in all things that are race and #BLM organizing or protest related. The intention of this space is that it be used to offer strength, courage and support to People of Color and offer knowledge to those who are in search of ways to become better allies to PoC. 

PoC, please feel free to post articles or personal writings on ways in which you would want to see support from potential white allies in this space. They are here to know our thoughts and hear our words. We have an audience, let's build this much needed bridge.
","April 14, 2017","1,322 Members",1501 Members,1,yes and active,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER: San Antonio Supporters,groups/750536508403003/?ref=br_rs,"San Antonio, TX",unclear,no official chapter in San Antonio,"Black Lives Matter: San Antonio Supporters is a Conscious organization focused on addressing, opposing, and exposing racism and white supremacy.","April 14, 2017",875 Members,1085 Members,1,yes and active,NA,NA,NA
Marcia,NA,Facebook Pages,Indy10 Black Lives Matter,@Indy10People,Indiana,unclear,"not a chapter- but collaborate with other ""official chapters""","The mission of Indy10 will be to present an organized front against injustices through promoting and participating in active and peaceable engagement between our citizens, police, and government. Inspired by the events in Ferguson, Missouri, Indy10 will work directly to raise awareness about the oppression of marginalized communities, both in our city and across the country. Through these actions, we will promote social and political progress towards a fairer, safer society.
","April 18th, 2017","5209 Followers
5079 Likes",5079 Likes,1,yes and active,NA,indy10people@gmail.com,NA
Marcia,1/18/2018,Facebook Groups,Black Lives Matter of Columbus,@blacklivesmatterofcolumbus,"Columbus, IN",July 2016,not a chapter,"The Black Lives Matter of Columbus is an organization which focuses on 
Black Lives, Black Equity & Black Liberation. BLM of Columbus also 
focuses on peaceful protest to injustices - to invoke necessary changes 
locally, to assist with national reform in our Criminal Justice System. 
 
 We welcome all creeds/races/ethnicities to join. Discrimination and hateful rhetoric will not be tolerated.
 

 BLM hopes to facilitate unifying this diverse community, creating 
forums where honest and respectful dialogue can take place, & where 
change can happen for us and by us.","January 18, 2018","1015 Followers
994 Likes","1015 Followers
994 Likes",1,yes and active,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Boise,@blacklivesmatterboise,"Boise, ID",unclear,not a chapter,N/A,"April 17, 2017",880 Likes,984 Likes,1,yes but inactive,NA,NA,NA
"
Found by",Date found,"Found from: (Facebook, Google search, other)",Name of Group,Username,Location of group,Year of formation,Information about link to BLM,About Us Blurb,Membership View Date,Number of likes/followers,NA,Location,Date group was formed,Connections to other BLM-related groups (list likes or followers from other groups),Email,Phone Number
Karen,NA,Twitter,Black Lives Matter Pasadena,@blmpasadena,"Pasadena, CA",May 2015,unclear,Black Lives Matter Pasadena is a community based organization that strives to unite and empower Pasadena's black community.,4/24/2017,"1026 Followers
16 Likes",NA,NA,NA,"@Long_Live_BLM, @BLMHOU, @BLMLouisville, @BLMTampafl, @BLMUpstateNY, @BLMTampa, @BLMLansing, @BLM_216, @BLM_Nashville, @BLMChi, @DMVBlackLives, @BLMPDX, BLM_IE, @BLMLA, @BLM5280, @BLMLBC, @OfficialBLMATL ‏ 
",NA,NA
Marcia,NA,"Instagram #
",#blacklives,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivescincy
",n/a,Cincinnati,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivescount,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesdomatter
",n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesdomattertoo,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesgraduate
",n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmater,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatte,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattee,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,#BlackLivesMatter,groups/1607806666216014/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",26 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter✊,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter✊✊,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter✊🏽✊🏾✊🏿,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter✊🏾,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter2,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatter757,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram Profile,#BlackLivesMatter757,blacklivesmatter757,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karen,NA,Instagram #,#blacklivesmatteratl,n/a,Atlanta,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatteratl,n/a,"Atlanta,GA",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatteratlanta,n/a,"Atlanta, GA",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterbg,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterboston,n/a,"Boston, MA",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterchicago,n/a,"Chicago, IL",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karen,NA,Instagram #,#blacklivesmattercincinnati,n/a,Cincinatti,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattercincinnati,n/a,Cincinnati,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
